127,,,,,Jan 20\, 2025 19:27:39.019140000 IST
128,,,,,Jan 20\, 2025 19:27:39.019143000 IST
129,,,,,Jan 20\, 2025 19:27:39.019144000 IST
130,,,,,Jan 20\, 2025 19:27:39.019146000 IST
131,,,,,Jan 20\, 2025 19:27:39.020514000 IST
132,,,,,Jan 20\, 2025 19:27:39.020659000 IST
133,,,,,Jan 20\, 2025 19:27:39.020827000 IST
134,,,,,Jan 20\, 2025 19:27:39.028719000 IST
135,,,,,Jan 20\, 2025 19:27:39.054406000 IST
136,,,,,Jan 20\, 2025 19:27:39.054409000 IST
137,,,,,Jan 20\, 2025 19:27:39.055018000 IST
138,,,,,Jan 20\, 2025 19:27:39.063364000 IST
139,,,,,Jan 20\, 2025 19:27:39.085295000 IST
140,,,,,Jan 20\, 2025 19:27:39.093178000 IST
141,,,,,Jan 20\, 2025 19:27:39.093495000 IST
142,20.42.65.84,192.168.29.227,443,63394,Jan 20\, 2025 19:27:39.154769000 IST
143,192.168.29.227,20.42.65.84,63394,443,Jan 20\, 2025 19:27:39.155249000 IST
144,20.42.65.84,192.168.29.227,443,63394,Jan 20\, 2025 19:27:39.158164000 IST
145,20.42.65.84,192.168.29.227,443,63394,Jan 20\, 2025 19:27:39.158168000 IST
146,192.168.29.227,20.42.65.84,63394,443,Jan 20\, 2025 19:27:39.158334000 IST
147,192.168.29.227,20.42.65.84,63394,443,Jan 20\, 2025 19:27:39.158508000 IST
148,,,,,Jan 20\, 2025 19:27:39.265205000 IST
149,,,,,Jan 20\, 2025 19:27:39.287975000 IST
150,,,,,Jan 20\, 2025 19:27:39.301161000 IST
151,13.232.68.211,192.168.29.227,27017,59472,Jan 20\, 2025 19:27:39.305381000 IST
152,192.168.29.227,13.232.68.211,59472,27017,Jan 20\, 2025 19:27:39.305595000 IST
153,13.232.68.211,192.168.29.227,27017,59450,Jan 20\, 2025 19:27:39.438876000 IST
154,192.168.29.227,13.232.68.211,59450,27017,Jan 20\, 2025 19:27:39.439084000 IST
155,,,,,Jan 20\, 2025 19:27:39.490163000 IST
156,20.42.65.84,192.168.29.227,443,63394,Jan 20\, 2025 19:27:39.514197000 IST
157,,,,,Jan 20\, 2025 19:27:39.545927000 IST
158,192.168.29.227,13.202.208.48,59468,27017,Jan 20\, 2025 19:27:39.668326000 IST
159,,,,,Jan 20\, 2025 19:27:39.749356000 IST
160,13.202.208.48,192.168.29.227,27017,59468,Jan 20\, 2025 19:27:39.786897000 IST
161,192.168.29.227,13.202.208.48,59468,27017,Jan 20\, 2025 19:27:39.787136000 IST
162,,,,,Jan 20\, 2025 19:27:39.803364000 IST
163,13.232.68.211,192.168.29.227,27017,58565,Jan 20\, 2025 19:27:39.888649000 IST
164,192.168.29.227,13.232.68.211,58565,27017,Jan 20\, 2025 19:27:39.889084000 IST
165,,,,,Jan 20\, 2025 19:27:40.007121000 IST
166,,,,,Jan 20\, 2025 19:27:40.062581000 IST
167,192.168.29.227,44.215.82.114,59586,443,Jan 20\, 2025 19:27:40.156715000 IST
168,192.168.29.227,107.22.28.121,59587,443,Jan 20\, 2025 19:27:40.156930000 IST
169,13.233.205.208,192.168.29.227,27017,59311,Jan 20\, 2025 19:27:40.260491000 IST
170,192.168.29.227,13.233.205.208,59311,27017,Jan 20\, 2025 19:27:40.260894000 IST
171,,,,,Jan 20\, 2025 19:27:40.265354000 IST
172,,,,,Jan 20\, 2025 19:27:40.321497000 IST
